 0.0000000000000E+00  1.0011136830564E+00  2.9078699140816E-01 -1.0083008528085E-17  2.3745647902744E-01  1.4553395963141E+00  6.4182155740508E-03  6.4182155740510E-03  8.4840715730516E-16  2.7445200259588E-15
 5.6228775510204E+00  1.0379025559889E+00  3.0147281646320E-01  1.0756111862453E-15  2.4618251722051E-01  1.5642663896093E+00  6.4182155740495E-03  6.4182155740499E-03 -3.2951052092664E-16 -1.5645636096178E-15
 1.1245755102041E+01  1.0760433444877E+00  3.1255132365493E-01  6.1006252797892E-16  2.5522921940580E-01  1.6813459510472E+00  6.4182155740497E-03  6.4182155740501E-03 -1.0573377618655E-15 -5.8694324495811E-16
 1.6868632653061E+01  1.1155857286746E+00  3.2403694324583E-01  4.5326380238403E-16  2.6460836932684E-01  1.8071884852099E+00  6.4182155740490E-03  6.4182155740492E-03 -3.9688468211225E-16 -6.2675092768134E-16
 2.2491510204082E+01  1.1565812143144E+00  3.3594463578093E-01  3.5218878298550E-16  2.7433218375552E-01  1.9424498682386E+00  6.4182155740492E-03  6.4182155740491E-03 -4.1595712366471E-16 -6.6341384984888E-17
 2.8114387755102E+01  1.1990831999028E+00  3.4828991157456E-01  2.6034878365791E-16  2.8441332840502E-01  2.0878350661813E+00  6.4182155740497E-03  6.4182155740494E-03 -6.1561910178945E-16  2.6526472092914E-16
 3.3737265306122E+01  1.2431470462205E+00  3.6108885091328E-01  2.0629132352512E-16  2.9486493442749E-01  2.2441018091906E+00  6.4182155740491E-03  6.4182155740490E-03 -2.1813375842383E-16 -1.4559695624009E-16
 3.9360142857143E+01  1.2888301484434E+00  3.7435812500115E-01 -1.7086103753251E-22  3.0570061551796E-01  2.4120645407222E+00  6.4182155740485E-03  6.4182155740484E-03  1.0046335962922E-16 -2.3589742513054E-16
 4.4983020408163E+01  1.3361920109024E+00  3.8811501767480E-01 -1.7798810413232E-22  3.1693448564683E-01  2.5925986623165E+00  6.4182155740487E-03  6.4182155740488E-03  9.2771309945231E-17  5.8374797405922E-17
 5.0605897959184E+01  1.3852943245901E+00  4.0237744791634E-01 -3.3241743142963E-23  3.2858117744390E-01  2.7866450960855E+00  6.4182155740489E-03  6.4182155740489E-03  3.8357647076844E-17  2.3931938754590E-16
 5.6228775510204E+01  1.4362010475169E+00  4.1716399319371E-01  6.3010358971965E-17  3.4065586125813E-01  2.9952151886860E+00  6.4182155740491E-03  6.4182155740490E-03 -2.2564083517776E-16  1.7672380999990E-16
