 3.4550107000000E-02  1.0005201722900E+00  8.8695261301880E-02  6.8531741200380E-15  7.8133864521741E-02  2.3232519541889E-04 -1.5270481430092E+02 -1.4281680669687E+02  1.7837755336321E+01 -1.9765791330106E+01
 3.5288442000000E-02  8.8771421519721E-01  7.8740369694704E-02 -1.5371377256285E-17  6.4419292161701E-02  1.8332936969057E-04 -1.5922560534984E+02 -1.5901404954599E+02 -2.9947188459818E+02 -1.4251399515193E+02
 3.6036508000000E-02  7.9064615974734E-01  7.0165474140561E-02 -1.9654385435657E-17  5.8520099874571E-02  1.4582005255449E-04 -1.5338932653865E+02 -1.5273853487943E+02 -3.0166239005344E+02 -1.3763844314443E+02
 3.6794291000000E-02  7.0525575462864E-01  6.2813661403860E-02 -5.8482039632627E-18  5.3410619179317E-02  1.1636128360720E-04 -1.5000788174245E+02 -1.4909466170012E+02 -3.0427342510841E+02 -1.3460282340634E+02
 3.7561770000000E-02  6.2941718806120E-01  5.6490829501463E-02 -4.2587050365623E-19  4.8608782921847E-02  9.2978504237051E-05 -1.4769862007119E+02 -1.4653424700267E+02 -3.0686272718798E+02 -1.3140166480761E+02
 3.8338926000000E-02  5.6177418553130E-01  5.0978166240396E-02  4.7349668333550E-15  4.4104892204566E-02  7.4334088406965E-05 -1.4584437286345E+02 -1.4439445961066E+02 -3.0875375632494E+02 -1.2831793712925E+02
 3.9125732000000E-02  5.0137846092482E-01  4.6112689554428E-02  4.3183948778239E-15  3.9958717144305E-02  5.9454159287579E-05 -1.4408627196202E+02 -1.4226698425371E+02 -3.0990159417782E+02 -1.2582825513421E+02
 3.9922160000000E-02  4.4748607852939E-01  4.1783509916858E-02  3.9249572334822E-15  3.6201357853943E-02  4.7589577855686E-05 -1.4223918353425E+02 -1.3991149519715E+02 -3.1056744103141E+02 -1.2427959623196E+02
 4.0728181000000E-02  3.9946003993297E-01  3.7914915859712E-02  3.5499211829528E-15  3.2830062798110E-02  3.8145401749755E-05 -1.4021589094914E+02 -1.3718596300891E+02 -3.1112630292143E+02 -1.2384178644984E+02
 4.1543760000000E-02  3.5672793119519E-01  3.4452286908235E-02  3.1923079424790E-15  2.9820671416431E-02  3.0641923959219E-05 -1.3797900549637E+02 -1.3400799311355E+02 -3.1197001754401E+02 -1.2453118173854E+02
 4.2368860000000E-02  3.1876502516822E-01  3.1352833328085E-02  2.8540370019305E-15  2.7139037723496E-02  2.4690200465502E-05 -1.3551276670899E+02 -1.3033780977519E+02 -3.1346527291174E+02 -1.2624685960648E+02
 4.3203443000000E-02  2.8508871630302E-01  2.8580275241573E-02  2.5393150478613E-15  2.4748835393526E-02  1.9974808062627E-05 -1.3281056371047E+02 -1.2617518353901E+02 -3.1594184846106E+02 -1.2880046515795E+02
 4.4047467000000E-02  2.5525552480072E-01  2.6101985251812E-02  2.2492820807416E-15  2.2615748100389E-02  1.6240500630907E-05 -1.2986945232863E+02 -1.2156210866037E+02 -3.1969404657879E+02 -1.3192642463881E+02
 4.4900886000000E-02  2.2886016034664E-01  2.3887668730299E-02  1.9819784352495E-15  2.0708216083439E-02  1.3281516839413E-05 -1.2668994220109E+02 -1.1658023953625E+02 -3.2497320870688E+02 -1.3526580793716E+02
 4.5763653000000E-02  2.0553231546938E-01  2.1909015214856E-02  1.7375391172516E-15  1.8996933895529E-02  1.0932909379476E-05 -1.2327632348569E+02 -1.1134350112692E+02 -3.3197721452483E+02 -1.3835843371025E+02
 4.6635717000000E-02  1.8493608339325E-01  2.0139569748309E-02  1.5193551978047E-15  1.7456751301080E-02  9.0632438816111E-06 -1.1963107647484E+02 -1.0599141608150E+02 -3.4084885041735E+02 -1.4062082028597E+02
 4.7517028000000E-02  1.6676823770924E-01  1.8554538660022E-02  1.3269165259171E-15  1.6026428342273E-02  7.5683744605389E-06 -1.1576209508367E+02 -1.0068042676603E+02 -3.5161301178293E+02 -1.4129766155124E+02
 4.8407528000000E-02  1.5075467596797E-01  1.7130868771624E-02  1.1587050607502E-15  1.4775733834992E-02  6.3662308282296E-06 -1.1169336905821E+02 -9.5572365497369E+01 -3.6404333752953E+02 -1.3944280400901E+02
 4.9307162000000E-02  1.3664644105306E-01  1.5847466620286E-02  1.0128843770493E-15  1.3673360816183E-02  5.3924552698455E-06 -1.0746883970206E+02 -9.0820282182038E+01 -3.7746489990461E+02 -1.3397455325790E+02
 5.0215868000000E-02  1.2421695910609E-01  1.4685351844826E-02  8.8744308660383E-16  1.2641069409356E-02  4.5968592560517E-06 -1.0315330573615E+02 -8.6554838715709E+01 -3.9052550819245E+02 -1.2391101778146E+02
 5.1133586000000E-02  1.1325942312675E-01  1.3627723609873E-02  7.8050382628906E-16  1.1702712059811E-02  3.9405034267156E-06 -9.8832438109781E+01 -8.2875006507821E+01 -4.0111397612796E+02 -1.0886446742861E+02
 5.2060250000000E-02  1.0358490868760E-01  1.2659988034988E-02  6.8988347308473E-16  1.0827333774933E-02  3.3933382670572E-06 -9.4609439036935E+01 -7.9843742395462E+01 -4.0671997424492E+02 -8.9670595337127E+01
 5.2995795000000E-02  9.5020992819002E-02  1.1769698898855E-02  6.1387744487834E-16  1.0049836075917E-02  2.9322886968828E-06 -9.0597675510411E+01 -7.7487681241785E+01 -4.0536654357118E+02 -6.8675187513482E+01
 5.3940152000000E-02  8.7411086688358E-02  1.0946463037144E-02  6.1040134905547E-16  9.3550900553934E-03  2.5397293137178E-06 -8.6910510292024E+01 -7.5799861092192E+01 -3.9665401359624E+02 -4.9144325746952E+01
