#  1.0000000000000E+00  0.0000000000000E+00  2.3181424059429E-01 -6.4182155740528E-03  8.0000000000000E-02  4.1182793525941E-01  2.4679389434522E-02
 0.0000000000000E+00 -3.8429019346038E-09  6.7432649525009E-09  7.2106009026368E-08  9.2924431982500E-08 -1.0816003994671E-12  5.2085121998140E-13  3.6102698068480E-01 -5.3815347716111E-01
 1.2134956257652E-03  2.7519404691268E-03 -3.2631633074049E-02 -1.1488949466866E-05 -2.5495429713534E-06 -1.0783170445524E-12  5.0862173995087E-13  3.6102126913418E-01 -5.3815699252033E-01
 4.8598042576750E-03  1.2330699699071E-02 -1.2791896487790E-01 -1.2970634337977E-04 -5.1663912637105E-05 -1.0633302802431E-12  4.7126668913417E-13  3.6098090626506E-01 -5.3817608165496E-01
 1.0956449776219E-02  3.2317932616542E-02 -2.7818988934453E-01 -6.4782714584643E-04 -2.6745571266088E-04 -1.0402859939846E-12  4.1037691004552E-13  3.6091971917599E-01 -5.3820173729985E-01
 1.9532835037547E-02  6.7462841333414E-02 -4.7118752773822E-01 -1.9825108367134E-03 -8.7199635336661E-04 -1.0316816627284E-12  3.4470162245485E-13  3.6083931905590E-01 -5.3824760712556E-01
 3.0630539981632E-02  1.2208494131512E-01 -6.9094996609744E-01 -4.6753926852017E-03 -2.1978026911549E-03 -9.9763667175532E-13  2.7162336431953E-13  3.6075123912360E-01 -5.3830537466738E-01
 4.4303746127476E-02  1.9828214071115E-01 -9.1915345112424E-01 -9.2717142621421E-03 -4.7090211435789E-03 -9.3497534441419E-13  1.7459800857343E-13  3.6066185634063E-01 -5.3839045966889E-01
 6.0619794820640E-02  2.9432500155570E-01 -1.1369350689076E+00 -1.6297267750631E-02 -8.9913081309360E-03 -8.6011662102325E-13  8.6887617305524E-14  3.6058769484201E-01 -5.3849614813750E-01
 7.9659889028125E-02  4.0362886970613E-01 -1.3270772468012E+00 -2.6128314430889E-02 -1.5737941508053E-02 -7.8030523327060E-13  2.2658017430953E-14  3.6054024885438E-01 -5.3863910205424E-01
 1.0151995116565E-01  5.1462922896386E-01 -1.4763179051824E+00 -3.8980734059837E-02 -2.5693048833278E-02 -6.7167894510687E-13 -2.5456788692513E-14  3.6054106130599E-01 -5.3881318030449E-01
 1.2631165246940E-01  6.1172104737866E-01 -1.5773802762326E+00 -5.4816082568172E-02 -3.9588767213550E-02 -5.7746121490860E-13 -9.4942719432173E-14  3.6060614569990E-01 -5.3903462981450E-01
 1.5416363287784E-01  6.7720919225242E-01 -1.6302889264977E+00 -7.3389852575014E-02 -5.8048941230281E-02 -4.3735874858664E-13 -1.8372685933119E-13  3.6076045901737E-01 -5.3929549952536E-01
 1.8522293437556E-01  6.9393654569668E-01 -1.6425334849109E+00 -9.4232904440582E-02 -8.1508344689700E-02 -3.1644590210750E-13 -2.4443593836385E-13  3.6102146774431E-01 -5.3960850028858E-01
 2.1965667539691E-01  6.4807319959914E-01 -1.6278677767701E+00 -1.1677947781470E-01 -1.1012887594763E-01 -2.0212753626954E-13 -2.7055282068848E-13  3.6141251421935E-01 -5.3996005385915E-01
 2.5765399934730E-01  5.3140565794995E-01 -1.6037726246369E+00 -1.4041626338232E-01 -1.4376388495271E-01 -1.1494381560633E-13 -2.8358593927204E-13  3.6194499349811E-01 -5.4035493994723E-01
 2.9942833676086E-01  3.4259602135398E-01 -1.5879914142551E+00 -1.6465004732499E-01 -1.8194569841284E-01 -7.8600263696931E-14 -3.0073732666559E-13  3.6263007660224E-01 -5.4076909570229E-01
 3.4522002830748E-01  8.7075667708152E-02 -1.5947845419324E+00 -1.8915576383721E-01 -2.2393159533583E-01 -1.0435187896474E-13 -2.9940779415042E-13  3.6345894379685E-01 -5.4119413717452E-01
 3.9529936507288E-01 -2.2429333607035E-01 -1.6316980246958E+00 -2.1389931324031E-01 -2.6876243591419E-01 -1.7008717726356E-13 -2.8251396507206E-13  3.6441228992241E-01 -5.4158984386598E-01
 4.4997011361895E-01 -5.7732925953853E-01 -1.6975192992366E+00 -2.3910226283637E-01 -3.1534679998291E-01 -2.1875398163912E-13 -2.5178489096210E-13  3.6543796278372E-01 -5.4192829375284E-01
 5.0957360672842E-01 -9.5656328838512E-01 -1.7818281764928E+00 -2.6525635761963E-01 -3.6251150251044E-01 -2.6375350626239E-13 -2.1501968561518E-13  3.6645753294937E-01 -5.4214545638780E-01
 5.7449349700374E-01 -1.3463833324280E+00 -1.8662216075800E+00 -2.9296862353224E-01 -4.0903151993194E-01 -2.6175805308879E-13 -1.3092856185453E-13  3.6734058735025E-01 -5.4218406418499E-01
 6.4516129032258E-01 -1.7306306552284E+00 -1.9271138322390E+00 -3.2285638546016E-01 -4.5360485067764E-01 -2.1486468088775E-13 -1.7212521159750E-14  3.6790784920750E-01 -5.4194312851528E-01
 7.2206280043514E-01 -2.0907994871832E+00 -1.9400989099298E+00 -3.5528344636689E-01 -4.9483178131903E-01 -1.6140936366616E-13  4.7317715556557E-14  3.6790231276027E-01 -5.4131831830577E-01
 8.0574569584327E-01 -2.4040079469360E+00 -1.8859352569676E+00 -3.9018586795271E-01 -5.3122515557481E-01 -1.3780748213315E-13  4.9575315250311E-14  3.6699065121548E-01 -5.4014856130009E-01
 8.9682834696002E-01 -2.6434142313375E+00 -1.7576081256177E+00 -4.2684484101897E-01 -5.6134210815276E-01 -1.4246849743033E-13  8.9856081409237E-14  3.6473546556944E-01 -5.3825445342476E-01
