64 8.0000000000000E+01 2.5000000000000E-02
0 0.0000000000000E+00 0.0000000000000E+00 0.0000000000000E+00
0 6.9339173281495E-04 0.0000000000000E+00 0.0000000000000E+00
0 2.7768934766453E-03 0.0000000000000E+00 0.0000000000000E+00
0 6.2605181355986E-03 0.0000000000000E+00 0.0000000000000E+00
0 1.1161064426254E-02 0.0000000000000E+00 0.0000000000000E+00
0 1.7502281348664E-02 0.0000000000000E+00 0.0000000000000E+00
0 2.5315095316864E-02 0.0000000000000E+00 0.0000000000000E+00
0 3.4637895728238E-02 0.0000000000000E+00 0.0000000000000E+00
0 4.5516871820161E-02 0.0000000000000E+00 0.0000000000000E+00
0 5.8006389123922E-02 0.0000000000000E+00 0.0000000000000E+00
0 7.2169386922954E-02 0.0000000000000E+00 0.0000000000000E+00
0 8.8077767905884E-02 0.0000000000000E+00 0.0000000000000E+00
0 1.0581273631362E-01 0.0000000000000E+00 0.0000000000000E+00
0 1.2546501861410E-01 0.0000000000000E+00 0.0000000000000E+00
0 1.4713486943505E-01 0.0000000000000E+00 0.0000000000000E+00
0 1.7093172057696E-01 0.0000000000000E+00 0.0000000000000E+00
0 1.9697326739222E-01 0.0000000000000E+00 0.0000000000000E+00
0 2.2538369886961E-01 0.0000000000000E+00 0.0000000000000E+00
0 2.5629065730119E-01 0.0000000000000E+00 0.0000000000000E+00
0 2.8982035256074E-01 0.0000000000000E+00 0.0000000000000E+00
0 3.2609004895309E-01 0.0000000000000E+00 0.0000000000000E+00
0 3.6519688907859E-01 0.0000000000000E+00 0.0000000000000E+00
0 4.0720173861779E-01 0.0000000000000E+00 0.0000000000000E+00
0 4.5210648369120E-01 0.0000000000000E+00 0.0000000000000E+00
0 4.9982311029621E-01 0.0000000000000E+00 0.0000000000000E+00
0 5.5013319785268E-01 0.0000000000000E+00 0.0000000000000E+00
0 6.0263760185165E-01 0.0000000000000E+00 0.0000000000000E+00
0 6.5669877353499E-01 0.0000000000000E+00 0.0000000000000E+00
0 7.1138327372212E-01 0.0000000000000E+00 0.0000000000000E+00
0 7.6542034899270E-01 0.0000000000000E+00 0.0000000000000E+00
0 8.1720364508001E-01 0.0000000000000E+00 0.0000000000000E+00
0 8.6487379565957E-01 0.0000000000000E+00 0.0000000000000E+00
0 9.0652061079293E-01 0.0000000000000E+00 0.0000000000000E+00
0 9.4051915073107E-01 0.0000000000000E+00 0.0000000000000E+00
0 9.6594914630554E-01 0.0000000000000E+00 0.0000000000000E+00
0 9.8295025243193E-01 0.0000000000000E+00 0.0000000000000E+00
0 9.9279760735239E-01 0.0000000000000E+00 0.0000000000000E+00
0 9.9754934522125E-01 0.0000000000000E+00 0.0000000000000E+00
0 9.9936737595468E-01 0.0000000000000E+00 0.0000000000000E+00
0 9.9988537827877E-01 0.0000000000000E+00 0.0000000000000E+00
0 9.9998683714371E-01 0.0000000000000E+00 0.0000000000000E+00
0 9.9999916267456E-01 0.0000000000000E+00 0.0000000000000E+00
0 9.9999997533824E-01 0.0000000000000E+00 0.0000000000000E+00
0 9.9999999973563E-01 0.0000000000000E+00 0.0000000000000E+00
0 9.9999999999926E-01 0.0000000000000E+00 0.0000000000000E+00
0 1.0000000000000E+00 0.0000000000000E+00 0.0000000000000E+00
0 1.0000000000000E+00 0.0000000000000E+00 0.0000000000000E+00
0 1.0000000000000E+00 0.0000000000000E+00 0.0000000000000E+00
0 1.0000000000000E+00 0.0000000000000E+00 0.0000000000000E+00
0 1.0000000000000E+00 0.0000000000000E+00 0.0000000000000E+00
0 1.0000000000000E+00 0.0000000000000E+00 0.0000000000000E+00
0 1.0000000000000E+00 0.0000000000000E+00 0.0000000000000E+00
0 1.0000000000000E+00 0.0000000000000E+00 0.0000000000000E+00
0 1.0000000000000E+00 0.0000000000000E+00 0.0000000000000E+00
0 1.0000000000000E+00 0.0000000000000E+00 0.0000000000000E+00
0 1.0000000000000E+00 0.0000000000000E+00 0.0000000000000E+00
0 1.0000000000000E+00 0.0000000000000E+00 0.0000000000000E+00
0 1.0000000000000E+00 0.0000000000000E+00 0.0000000000000E+00
0 1.0000000000000E+00 0.0000000000000E+00 0.0000000000000E+00
0 1.0000000000000E+00 0.0000000000000E+00 0.0000000000000E+00
0 1.0000000000000E+00 0.0000000000000E+00 0.0000000000000E+00
0 1.0000000000000E+00 0.0000000000000E+00 0.0000000000000E+00
0 1.0000000000000E+00 0.0000000000000E+00 0.0000000000000E+00
0 1.0000000000000E+00 0.0000000000000E+00 0.0000000000000E+00
